FID_,node_fid,Lon,Lat,Lon_m,Lat_m
,2858,-72.831745810300006,42.755455278299998,1866752.564830000000000,2424061.731720000000000
,2859,-72.677884333500003,42.611073534500001,1882821.168499999900000,2411440.813999999800000
,2860,-72.968967055799993,43.025375133899999,1848676.753000000000000,2450650.734000000200000
,2861,-72.656616664200001,42.665944878099999,1883012.110000000100000,2417811.258700000100000
,2862,-72.655902366099994,42.669011044400001,1882985.230370000000000,2418157.817480000200000
,2863,-72.894165408099994,42.699829261799998,1863319.427710000000000,2416803.524550000200000
,2864,-72.742644365700002,42.779166296400000,1873146.177399999900000,2428386.010499999900000
,2865,-72.744127983100000,42.778947447699998,1873035.006920000100000,2428333.041420000100000
,2866,-72.750857753800005,42.777279049599997,1872549.004890000000000,2428019.532740000200000
,2867,-72.716943555599997,42.759507694000000,1875707.415199999900000,2426761.625599999900000
,2868,-72.717019920499993,42.759464877100001,1875702.547340000000000,2426755.476410000100000
,2869,-72.718157105000003,42.758514626299998,1875638.530760000000000,2426630.011239999900000
,2870,-72.929220242100001,43.015902266499999,1852058.695000000100000,2450397.423899999800000
,2871,-73.024625180200005,42.614340655699998,1855292.716599999900000,2404975.712600000200000
,2872,-73.018143640100007,42.620650210599997,1855636.977280000000000,2405786.986750000200000
,2873,-73.005390409100002,42.621674763199998,1856619.110050000000000,2406147.257989999800000
,2874,-72.931561919299995,42.632999493600003,1862158.532580000100000,2408820.559969999800000
,2875,-72.701463728199997,42.711677937499999,1878226.763499999900000,2421881.882060000200000
,2876,-72.785643503800003,42.647900537200002,1873300.265399999900000,2413304.714699999900000
,2877,-72.782531902599999,42.635084267899998,1873892.838100000100000,2411976.119899999800000
,2878,-72.900527742799994,42.656649268000002,1863978.016400000100000,2411994.687299999900000
,2879,-72.899889196499998,42.655588224900001,1864057.067310000100000,2411892.107950000100000
,2880,-72.798416721400002,42.846659706499999,1866920.941799999900000,2434606.215100000100000
,2881,-72.795675189799994,42.843999432899999,1867208.999430000100000,2434371.641789999800000
,2882,-72.983433860500000,43.035006734800000,1847280.281800000000000,2451413.899300000200000
,2883,-72.984281838599998,43.031626119199998,1847304.125640000000000,2451030.805850000100000
,2884,-73.006993004099996,43.076219875699998,1844323.534299999900000,2455425.643100000000000
,2885,-72.777787764899998,42.585598926599999,1875606.278900000000000,2406702.782000000100000
,2886,-72.980224847100004,42.837321698799997,1852830.399500000100000,2430035.379600000100000
,2887,-72.983830180699997,42.831730364000002,1852695.745900000000000,2429358.558699999900000
,2888,-72.608317608600004,42.522472035400000,1890736.915510000000000,2403215.602529999800000
,2889,-72.924084252900002,42.642169615199997,1862503.806430000100000,2409961.987639999900000
,2890,-72.909170276699996,42.638526535600000,1863781.735420000000000,2409859.144600000200000
,2891,-72.945050463900003,42.771239361299997,1857379.718859999900000,2423553.629619999800000
,2892,-72.668066681599996,42.560100004299997,1884982.636450000100000,2406108.474409999800000
,2893,-72.668707530099994,42.551901336900002,1885154.653720000100000,2405206.771329999900000
,2894,-72.668498451299996,42.558416957600002,1884994.183870000100000,2405917.416350000100000
,2895,-72.948664141099997,42.881865447000003,1854125.256980000100000,2435482.496080000000000
,2896,-72.928359369399999,42.919042782200002,1854727.719899999900000,2439910.745699999900000
,2897,-72.575669833600003,42.625829140900002,1890503.221399999900000,2415069.697999999900000
,2898,-72.662675555600003,42.635923126999998,1883348.979950000100000,2414436.407709999900000
,2899,-73.054221057800007,42.649830061099998,1852000.983100000100000,2408249.923099999800000
,2900,-73.053060406900002,42.654134770200002,1851977.784879999900000,2408739.714070000200000
,2901,-73.052892284600006,42.654198701200002,1851989.380129999900000,2408749.928530000200000
,2902,-72.748621302900006,42.805199967900002,1871969.750999999900000,2431090.727099999800000
,2903,-72.803417528200001,42.922586120299997,1864476.397799999900000,2442739.802900000000000
,2904,-72.801989483400007,42.900115284899996,1865195.664470000000000,2440331.676560000100000
,2905,-72.809484259499996,42.898150616800002,1864658.106699999900000,2439971.596659999800000
,2906,-72.712888537799998,42.509600313500002,1882803.831900000100000,2399743.727599999900000
,2907,-72.593092435900004,42.552954659400001,1891111.756600000000000,2406823.305199999800000
