bar_id	bar_pass	bar_type	bar_type_text	unique_id	node_id	Lon	Lat	Lon_m	Lat_m
1136	1	1	Culvert	xy4263118272972800	1494	-72.97280013	42.63118915	1858943.669	2407816.779
1137	0.5	1	Culvert	xy4258943972985682	138	-72.98567731	42.58944115	1859043.574	2403034.753
1138	1	1	Culvert	xy4270847973046878	3466	-73.04687869	42.70848201	1851014.129	2414757.931
1139	0.8	1	Culvert	xy4269478673050571	3469	-73.05056877	42.69476742	1851088.911	2413197.792
1140	0.3	1	Culvert	xy4268303473054470	1499	-73.05445446	42.6830408	1851094.982	2411849.534
1141	0.5	1	Culvert	xy4269394173049844	3468	-73.0498416	42.69394257	1851168.466	2413122.445
1142	1	1	Culvert	xy4265891373060443	731	-73.06044374	42.65891257	1851265.867	2409114.374
1143	0.7	1	Culvert	xy4268753773048106	1702	-73.04809686	42.68753859	1851477.632	2412461.483
1144	0.4	1	Culvert	xy4268933173046621	3467	-73.0466188	42.68933693	1851546.463	2412685.432
1145	0.6	1	Culvert	xy4267697873050452	3532	-73.05045039	42.67698655	1851573.521	2411270.522
1146	0.3	1	Culvert	xy4268297573047895	1500	-73.04788914	42.68298461	1851615.794	2411971.335
1147	0.4	1	Culvert	xy4272843573032282	1755	-73.0322782	42.72844023	1851634.72	2417208.06
1148	0.5	1	Culvert	xy4265760673055760	157	-73.05576076	42.6576134	1851671.139	2409064.615
1149	0.6	1	Culvert	xy4272548673032651	2998	-73.03265061	42.72549587	1851684.036	2416881.317
1150	0.5	1	Culvert	xy4269494873042266	2157	-73.04226867	42.6949465	1851740.532	2413378.926
1151	0.4	1	Culvert	xy4266059973051849	1727	-73.05183403	42.66059711	1851902.109	2409464.937
1152	0.6	1	Culvert	xy4270854573035328	2156	-73.03532485	42.70854037	1851926.105	2414989.36
1153	0.5	1	Culvert	xy4267650273046016	3533	-73.04602022	42.67650955	1851936.722	2411305.081
1154	0.3	1	Culvert	xy4265412673053057	2900	-73.05306041	42.65413477	1851977.785	2408739.714
1155	0.5	1	Culvert	xy4265419373052886	2901	-73.05289228	42.6541987	1851989.38	2408749.929
1156	0.3	1	Culvert	xy4266276073046904	1992	-73.04690163	42.66276785	1852234.351	2409796.638
1157	0.6	1	Culvert	xy4266749273045126	2488	-73.04512664	42.66749239	1852248.479	2410343.949
1158	-1	1	Culvert	xy4266599373043467	2490	-73.04346298	42.66599469	1852420.144	2410213.843
1159	-1	1	Culvert	xy4266153373044427	1374	-73.04442195	42.6615368	1852463.458	2409711.375
1160	0.4	1	Culvert	xy4266219273041876	2489	-73.04187754	42.66220091	1852647.019	2409833.045
1161	0.9	1	Culvert	xy4266143573038187	2397	-73.03818747	42.66144388	1852959.224	2409822.835
1162	0.4	1	Culvert	xy4265409373039962	3071	-73.03996256	42.6540929	1853015.35	2408990.489
1163	0.3	1	Culvert	xy4265881173037368	3072	-73.03737421	42.65881516	1853093.872	2409553.423
1164	0.9	1	Culvert	xy4272796173011578	3104	-73.01157754	42.72796825	1853283.559	2417560.361
